image_id,storm_id,relative_time,ocean,wind_speed,category,category_fold
ics_039,ics,86400,1,64,2,0
snk_017,snk,59400,1,100,2,0
oup_138,oup,298801,1,66,2,0
jvx_091,jvx,221400,2,82,2,0
ing_244,ing,529199,1,70,2,0
ggv_190,ggv,460800,2,74,2,0
pjj_191,pjj,412200,1,74,2,0
qdh_155,qdh,543600,2,99,2,0
dnd_045,dnd,151199,2,85,2,0
pug_165,pug,358199,1,78,2,0
ggv_011,ggv,32400,2,110,2,0
vni_035,vni,91800,1,115,2,0
jwn_068,jwn,144001,1,71,2,0
ggv_238,ggv,574200,2,85,2,0
psz_161,psz,347400,2,112,2,0
wap_158,wap,395998,1,65,2,0
cti_175,cti,377999,1,109,2,0
ojw_029,ojw,62999,1,73,2,0
cpf_074,cpf,158399,2,64,2,0
rkm_165,rkm,511199,2,62,2,0
cti_227,cti,489599,1,66,2,0
erx_127,erx,482400,2,100,2,0
xhj_079,xhj,217799,1,70,2,0
azm_110,azm,543600,2,110,2,0
zgi_146,zgi,314998,1,86,2,0
pug_192,pug,415801,1,85,2,0
kqu_096,kqu,208801,1,64,2,0
pau_053,pau,115200,1,68,2,0
wtz_105,wtz,378001,1,110,2,0
whm_085,whm,183600,1,65,2,0
ztb_210,ztb,457202,1,74,2,0
kyq_090,kyq,262800,2,72,2,0
rkm_112,rkm,358200,2,65,2,0
fcr_219,fcr,471598,1,90,2,0
ryg_099,ryg,309601,2,90,2,0
psz_076,psz,163800,2,93,2,0
mju_003,mju,7200,2,66,2,0
fzw_109,fzw,442798,2,90,2,0
jwn_065,jwn,136802,1,73,2,0
sha_227,sha,489602,2,70,2,0
sdt_043,sdt,91800,1,74,2,0
zgi_049,zgi,106199,1,75,2,0
tcn_047,tcn,143999,2,74,2,0
alq_120,alq,261000,1,64,2,0
vtw_015,vtw,514800,1,65,2,0
ggv_249,ggv,597600,2,85,2,0
eon_138,eon,298798,2,70,2,0
iag_180,iag,390599,1,109,2,0
zvb_027,zvb,57601,2,87,2,0
dzw_336,dzw,946799,1,65,2,0
qki_098,qki,210602,1,69,2,0
fcr_345,fcr,746999,1,80,2,0
azm_134,azm,595800,2,85,2,0
ilk_150,ilk,539998,1,105,2,0
jvx_089,jvx,217801,2,84,2,0
wsy_432,wsy,943200,1,66,2,0
meg_001,meg,1800,2,115,2,0
iag_246,iag,534599,1,71,2,0
dvh_082,dvh,176400,1,89,2,0
jhp_113,jhp,244801,1,67,2,0
gst_164,gst,475201,2,91,2,0
eoi_185,eoi,401401,1,80,2,0
rkm_199,rkm,604800,2,80,2,0
sdt_052,sdt,111599,1,82,2,0
zny_377,zny,804602,1,75,2,0
efl_049,efl,111598,1,89,2,0
azm_085,azm,489600,2,80,2,0
eck_065,eck,194400,2,70,2,0
kyq_009,kyq,23399,2,76,2,0
ise_155,ise,334797,1,66,2,0
vxf_181,vxf,390600,1,93,2,0
xat_121,xat,439202,2,90,2,0
ing_211,ing,457199,1,70,2,0
ogw_111,ogw,239401,1,83,2,0
ogw_109,ogw,234001,1,85,2,0
mkf_114,mkf,410393,1,80,2,0
sxb_071,sxb,190800,2,64,2,0
vkb_086,vkb,185401,2,82,2,0
zvv_174,zvv,374400,1,71,2,0
sha_258,sha,585002,2,65,2,0
gic_446,gic,1663205,2,70,2,0
woz_060,woz,129601,1,92,2,0
iiz_139,iiz,302399,1,70,2,0
eoi_356,eoi,770401,1,67,2,0
vgg_079,vgg,169201,1,100,2,0
vxf_199,vxf,428399,1,76,2,0
zgi_074,zgi,160200,1,89,2,0
buv_025,buv,89999,1,68,2,0
tmx_016,tmx,36002,1,89,2,0
vgg_094,vgg,201599,1,95,2,0
rib_155,rib,338399,1,71,2,0
qks_077,qks,165600,2,64,2,0
gux_321,gux,774000,2,106,2,0
ijc_205,ijc,444599,1,80,2,0
ggv_213,ggv,511200,2,85,2,0
wsy_363,wsy,788400,1,90,2,0
djm_139,djm,298802,1,106,2,0
kqu_114,kqu,248400,1,73,2,0
