image_id,storm_id,relative_time,ocean,wind_speed,train
alc_000,alc,0,2,92,1
alc_001,alc,1799,2,93,1
alc_002,alc,3600,2,94,1
alc_003,alc,7199,2,95,1
alc_004,alc,9000,2,94,1
alc_005,alc,10800,2,94,1
alc_006,alc,12600,2,94,1
alc_007,alc,14400,2,93,1
azm_042,azm,367200,2,120,1
azm_043,azm,369000,2,119,1
azm_044,azm,370800,2,119,1
azm_045,azm,372600,2,119,1
azm_046,azm,374400,2,118,1
azm_047,azm,378000,2,117,1
azm_048,azm,379800,2,117,1
azm_049,azm,381600,2,116,1
azm_050,azm,383400,2,116,1
azm_051,azm,385200,2,116,1
azm_052,azm,388800,2,115,1
azm_101,azm,523800,2,92,1
azm_102,azm,525600,2,94,1
azm_103,azm,529200,2,99,1
azm_104,azm,531000,2,101,1
azm_105,azm,532800,2,103,1
azm_106,azm,534600,2,105,1
azm_107,azm,536400,2,107,1
azm_108,azm,540000,2,110,1
azm_109,azm,541800,2,110,1
azm_110,azm,543600,2,110,1
azm_111,azm,545400,2,110,1
azm_112,azm,547200,2,110,1
azm_113,azm,550800,2,110,1
azm_114,azm,552600,2,110,1
azm_115,azm,554400,2,110,1
azm_116,azm,556200,2,110,1
azm_117,azm,558000,2,110,1
azm_118,azm,561600,2,110,1
azm_119,azm,563400,2,110,1
azm_120,azm,565200,2,110,1
azm_121,azm,567000,2,110,1
azm_122,azm,568800,2,110,1
azm_123,azm,572400,2,110,1
azm_124,azm,574200,2,110,1
bcf_000,bcf,0,1,92,1
bcf_001,bcf,1802,1,94,1
bcf_002,bcf,3600,1,96,1
bcf_003,bcf,5401,1,98,1
bcf_004,bcf,7200,1,100,1
bcf_005,bcf,10802,1,105,1
bcf_006,bcf,12600,1,107,1
bcf_007,bcf,14400,1,109,1
bcf_008,bcf,16200,1,111,1
bcf_009,bcf,18000,1,113,1
bcf_010,bcf,21599,1,118,1
bcf_058,bcf,126003,1,120,1
ben_008,ben,118800,2,91,1
ben_009,ben,120600,2,93,1
ben_010,ben,196200,2,108,1
ben_011,ben,198000,2,107,1
ben_012,ben,199800,2,106,1
brm_017,brm,244801,2,119,1
brm_018,brm,246601,2,119,1
brm_019,brm,248400,2,119,1
brm_020,brm,250201,2,118,1
brm_021,brm,253800,2,117,1
brm_022,brm,255601,2,117,1
brm_023,brm,257402,2,116,1
brm_024,brm,261001,2,116,1
cki_026,cki,102600,1,96,1
cki_027,cki,104400,1,97,1
cki_028,cki,106200,1,98,1
cki_029,cki,108000,1,98,1
cki_030,cki,115199,1,102,1
cki_031,cki,116998,1,103,1
cki_032,cki,118799,1,103,1
cki_033,cki,120599,1,104,1
cki_034,cki,124199,1,105,1
cki_035,cki,125998,1,105,1
cki_036,cki,127799,1,105,1
cki_037,cki,129599,1,105,1
cki_038,cki,131398,1,105,1
cki_039,cki,134999,1,105,1
cki_040,cki,136799,1,105,1
cki_041,cki,138598,1,105,1
cki_042,cki,140399,1,105,1
cki_043,cki,142199,1,105,1
cki_044,cki,145799,1,105,1
cki_045,cki,147599,1,105,1
cki_046,cki,149399,1,105,1
cki_047,cki,151198,1,105,1
cki_048,cki,152998,1,105,1
cki_049,cki,156600,1,105,1
cki_050,cki,174600,1,101,1
cki_051,cki,178200,1,99,1
cki_052,cki,189000,1,95,1
cti_050,cti,108000,1,92,1
cti_051,cti,109801,1,94,1
cti_052,cti,111600,1,96,1
cti_053,cti,113400,1,98,1
cti_054,cti,115201,1,100,1
cti_055,cti,118799,1,105,1
cti_056,cti,120599,1,107,1
cti_057,cti,122399,1,109,1
cti_058,cti,124199,1,111,1
cti_059,cti,125998,1,113,1
cti_060,cti,129599,1,116,1
cti_061,cti,131399,1,117,1
cti_062,cti,133199,1,118,1
cti_063,cti,134999,1,118,1
cti_064,cti,136799,1,119,1
cti_079,cti,169200,1,120,1
cti_080,cti,172801,1,119,1
cti_081,cti,174600,1,118,1
cti_082,cti,176401,1,117,1
cti_083,cti,178200,1,117,1
cti_084,cti,180002,1,116,1
cti_085,cti,183600,1,114,1
cti_086,cti,185400,1,113,1
cti_087,cti,187201,1,112,1
cti_088,cti,189000,1,112,1
cti_089,cti,190801,1,111,1
cti_090,cti,194400,1,109,1
cti_091,cti,196202,1,107,1
cti_092,cti,198000,1,106,1
cti_093,cti,199800,1,105,1
cti_094,cti,201600,1,104,1
cti_095,cti,205199,1,101,1
cti_096,cti,206999,1,100,1
cti_097,cti,208799,1,99,1
cti_098,cti,210599,1,97,1
cti_099,cti,212399,1,96,1
cti_100,cti,215998,1,94,1
cti_101,cti,217800,1,93,1
cti_102,cti,219599,1,92,1
cti_103,cti,221399,1,92,1
cti_104,cti,223199,1,91,1
cti_160,cti,345600,1,91,1
cti_161,cti,347401,1,92,1
